CustomerID,Surname,NetworkScore,Region,Gender,Age,Tenure,MonthlyCharge,NumOfProducts,HasInternetService,IsActiveMember,EstimatedMonthlyUsage,Exited
4971,Moreno,25.0,South,Female,26.0,11,134.2,1,0,1.0,,1
2858,Bell,68.0,North,Female,60.0,17,25.72,3,1,1.0,533.4,0
5794,Baker,34.0,North,Male,28.0,7,131.03,2,0,0.0,509.04,0
3996,Jackson,13.0,South,Male,65.0,2,64.27,3,0,1.0,246.48,0
2680,Craig,50.0,East,Female,60.0,16,41.26,3,1,1.0,902.28,1
1528,Drake,18.0,North,Female,63.0,5,99.55,4,0,0.0,949.95,0
217,Chambers,48.0,South,Female,29.0,15,46.91,1,1,0.0,847.45,1
2987,Salazar,98.0,South,Male,60.0,20,193.17,1,1,1.0,328.63,0
1414,Knight,64.0,South,Other,53.0,4,145.4,4,1,1.0,506.3,0
1113,Joseph,6.0,North,Male,36.0,10,193.33,2,1,1.0,862.39,1
4064,Martin,82.0,West,Other,20.0,17,199.6,3,0,1.0,,1
2730,Garza,20.0,East,Female,43.0,9,79.39,3,1,1.0,184.58,1
277,Tyler,79.0,South,Female,52.0,3,162.91,4,0,1.0,358.42,0
4782,Kline,19.0,North,Other,26.0,7,159.59,2,0,0.0,806.92,1
648,Graham,63.0,East,Male,48.0,6,38.15,1,0,1.0,284.56,0
931,Porter,41.0,South,Male,54.0,3,160.73,2,1,1.0,185.4,0
396,Benson,66.0,North,Other,62.0,17,168.71,4,0,1.0,902.52,0
3488,Stephens,67.0,East,Female,60.0,13,101.6,1,0,0.0,559.33,0
1741,Nguyen,84.0,West,Other,26.0,14,112.59,4,1,1.0,,1
1993,Green,,East,Male,50.0,2,74.54,4,1,1.0,665.12,0
970,Frazier,45.0,South,Female,57.0,12,144.61,1,0,0.0,386.49,0
3500,Leblanc,85.0,East,Female,30.0,9,96.93,1,1,1.0,617.31,1
393,Doyle,16.0,West,Female,70.0,7,183.68,4,0,1.0,758.81,0
1128,Price,2.0,South,Female,55.0,3,99.51,1,1,0.0,183.41,1
5264,Tate,12.0,West,Male,26.0,8,35.37,2,1,1.0,949.51,1
990,Caldwell,71.0,West,Female,18.0,10,62.94,1,1,1.0,875.41,1
2763,Martin,85.0,East,Other,56.0,12,108.02,1,1,1.0,536.67,0
1737,Wright,97.0,West,Female,36.0,16,39.09,1,0,0.0,,0
3587,Brown,23.0,North,Other,34.0,7,96.96,4,1,0.0,219.69,1
5804,Williams,32.0,West,Other,56.0,2,162.55,4,1,0.0,111.32,0
1500,Rodgers,59.0,North,Other,36.0,17,164.26,4,1,,438.66,1
46,Morrow,75.0,West,Female,59.0,12,127.0,4,0,0.0,719.52,1
1086,Gonzalez,61.0,South,Other,33.0,19,46.9,4,1,1.0,564.57,0
5946,Campbell,54.0,South,Female,28.0,18,177.86,1,0,0.0,752.05,1
4357,Gonzales,17.0,South,Male,40.0,10,59.46,1,1,0.0,422.09,1
1004,Garrett,83.0,North,Male,40.0,4,150.54,2,1,0.0,920.55,0
2881,Garcia,5.0,North,Male,65.0,0,134.41,1,1,0.0,546.25,0
4190,Martin,,West,Other,21.0,20,20.44,1,0,,172.32,1
3974,Meza,69.0,North,Male,69.0,12,54.65,4,1,1.0,506.32,0
3511,Turner,85.0,North,Other,42.0,20,70.16,3,0,1.0,384.55,0
1657,Reyes,60.0,East,Female,38.0,20,82.44,3,1,1.0,621.36,1
2168,Thomas,86.0,South,Female,47.0,4,46.18,1,0,1.0,838.13,1
1137,Klein,50.0,West,Male,34.0,8,56.43,1,1,0.0,891.88,1
4364,Sullivan,46.0,West,Other,48.0,19,141.37,4,0,0.0,253.61,1
4772,Holland,17.0,West,Male,66.0,16,199.16,3,1,0.0,362.26,1
1895,Munoz,74.0,North,Male,69.0,16,173.16,2,1,1.0,602.28,0
4616,Martinez,39.0,South,Female,31.0,10,154.87,2,1,0.0,866.05,1
1636,Scott,3.0,North,Male,25.0,5,101.75,4,0,0.0,910.88,1
1341,Patel,89.0,South,Other,31.0,13,183.99,2,1,0.0,275.03,0
5517,Smith,60.0,East,Male,,3,21.21,4,0,0.0,296.77,0
703,Cole,,East,Female,49.0,7,107.23,1,0,1.0,364.79,0
1486,Huber,5.0,North,Male,57.0,4,143.57,4,0,1.0,574.93,0
3067,Hunt,60.0,East,Male,44.0,15,199.4,2,0,1.0,935.94,0
1666,Rivera,93.0,West,Male,25.0,10,87.64,3,0,0.0,604.56,1
3715,Reed,13.0,South,Female,63.0,15,190.32,1,1,1.0,594.66,1
4242,Torres,42.0,West,Female,46.0,5,118.2,4,1,1.0,318.83,0
2358,Scott,,East,Other,45.0,7,99.32,1,1,0.0,861.48,0
5184,Adams,29.0,North,Male,68.0,10,63.19,2,1,0.0,763.94,1
362,Hutchinson,2.0,South,Other,50.0,1,60.44,3,1,1.0,646.43,0
